FileHelpers - Errors Saved at 09 July 2015 13:04:26
LineNumber | LineString |ErrorDescription
12|9,0,7 May 2015 10:45:08,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 12. Column: 25. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
18|15,0,7 May 2015 10:45:14,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 18. Column: 26. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
22|19,0,7 May 2015 10:45:18,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 22. Column: 26. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
24|21,0,7 May 2015 10:45:20,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 24. Column: 26. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
33|30,0,7 May 2015 10:45:29,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 33. Column: 26. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
35|32,0,7 May 2015 10:45:31,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 35. Column: 26. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
39|36,0,7 May 2015 10:45:35,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 39. Column: 26. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
44|41,0,7 May 2015 10:45:40,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 44. Column: 26. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
50|47,0,7 May 2015 10:45:46,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 50. Column: 26. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
56|53,0,7 May 2015 10:45:52,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 56. Column: 26. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
58|55,0,7 May 2015 10:45:54,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 58. Column: 26. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
61|58,0,7 May 2015 10:45:57,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 61. Column: 26. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
63|60,0,7 May 2015 10:45:59,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 63. Column: 26. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
65|62,0,7 May 2015 10:46:01,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 65. Column: 26. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
401|398,0,7 May 2015 10:51:37,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 401. Column: 27. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
403|400,0,7 May 2015 10:51:39,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 403. Column: 27. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
409|406,0,7 May 2015 10:51:45,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 409. Column: 27. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
412|409,0,7 May 2015 10:52:11,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 412. Column: 27. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
453|450,0,7 May 2015 10:52:52,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 453. Column: 27. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
483|480,0,7 May 2015 10:53:22,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 483. Column: 27. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
484|481,0,7 May 2015 10:53:26,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 484. Column: 27. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
907|904,1,7 May 2015 11:01:23,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 907. Column: 27. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
908|905,1,7 May 2015 11:01:24,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 908. Column: 27. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
933|930,1,7 May 2015 11:01:49,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 933. Column: 27. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
934|931,1,7 May 2015 11:01:50,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 934. Column: 27. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
942|939,1,7 May 2015 11:01:58,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 942. Column: 27. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
943|940,1,7 May 2015 11:01:59,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 943. Column: 27. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
946|943,1,7 May 2015 11:02:02,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 946. Column: 27. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
947|944,1,7 May 2015 11:02:03,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 947. Column: 27. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
1644|1641,0,7 May 2015 11:13:43,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 1644. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
1824|1821,0,7 May 2015 11:17:37,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 1824. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
1825|1822,0,7 May 2015 11:17:38,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 1825. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
1862|1859,0,7 May 2015 11:18:15,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 1862. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
1863|1860,0,7 May 2015 11:18:16,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 1863. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
1929|1926,0,7 May 2015 11:19:28,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 1929. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
1936|1933,0,7 May 2015 11:20:29,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 1936. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
1974|1971,0,7 May 2015 11:21:15,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 1974. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
1979|1976,0,7 May 2015 11:21:20,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 1979. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
1980|1977,0,7 May 2015 11:21:21,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 1980. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
1985|1982,0,7 May 2015 11:21:26,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 1985. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
1989|1986,0,7 May 2015 11:21:35,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 1989. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
2004|2001,0,7 May 2015 11:22:44,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 2004. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
2010|2007,0,7 May 2015 11:22:50,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 2010. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
2016|2013,0,7 May 2015 11:22:56,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 2016. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
2244|2241,0,7 May 2015 11:26:45,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 2244. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
2259|2256,0,7 May 2015 11:27:02,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 2259. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
2264|2261,0,7 May 2015 11:27:57,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 2264. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
2266|2263,0,7 May 2015 11:28:03,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 2266. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
2439|2436,0,7 May 2015 11:30:56,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 2439. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
2445|2442,0,7 May 2015 11:31:02,Err:Pressure,Err:Temperature,!|In the field 'Pressure': Line: 2445. Column: 28. Field: Pressure. Error Converting 'Err:Pressure' to type: 'Double'. 
